expeId	lang	config	col.3-4	crfpp.algo	crfpp.cost	crfpp.minfreq	crftool	labels	pattern.singleNGramSize	wapiti.algo	wapiti.sparse	level	perf
expe	BG	048	3:1:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5752
expe	BG	048	3:1:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4733
expe	BG	049	3:1:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6417
expe	BG	049	3:1:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5869
expe	BG	050	3:1:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5954
expe	BG	050	3:1:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6478
expe	BG	051	3:1:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5729
expe	BG	051	3:1:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4478
expe	BG	052	3:1:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5876
expe	BG	052	3:1:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6542
expe	BG	053	3:1:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6348
expe	BG	053	3:1:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5767
expe	BG	054	3:2:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4114
expe	BG	054	3:2:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5768
expe	BG	055	3:2:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6399
expe	BG	055	3:2:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5105
expe	BG	056	3:2:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6408
expe	BG	056	3:2:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5131
expe	BG	057	3:2:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4050
expe	BG	057	3:2:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5768
expe	BG	058	3:2:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6422
expe	BG	058	3:2:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5009
expe	BG	059	3:2:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6195
expe	BG	059	3:2:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.4794
expe	BG	060	3:2:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4791
expe	BG	060	3:2:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5816
expe	BG	061	3:2:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6576
expe	BG	061	3:2:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.6052
expe	BG	062	3:2:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.6038
expe	BG	062	3:2:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6541
expe	BG	063	3:2:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5902
expe	BG	063	3:2:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4815
expe	BG	064	3:2:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6551
expe	BG	064	3:2:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5944
expe	BG	065	3:2:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5888
expe	BG	065	3:2:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6479
expe	BG	066	3:3:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4055
expe	BG	066	3:3:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5719
expe	BG	067	3:3:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6362
expe	BG	067	3:3:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5031
expe	BG	068	3:3:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.4978
expe	BG	068	3:3:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6339
expe	BG	069	3:3:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5733
expe	BG	069	3:3:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4083
expe	BG	070	3:3:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6324
expe	BG	070	3:3:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.4940
expe	BG	071	3:3:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6268
expe	BG	071	3:3:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5009
expe	BG	072	3:3:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4828
expe	BG	072	3:3:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5849
expe	BG	073	3:3:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5886
expe	BG	073	3:3:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6421
expe	BG	074	3:3:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5984
expe	BG	074	3:3:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6456
expe	BG	075	3:3:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4685
